SquareFootage,Bedrooms,Bathrooms,YearBuilt,Location,Price
1800,3,2,2005,Suburban,420000
2500,4,3,1998,Urban,650000
1200,2,1.5,2015,Rural,285000
2100,3,2.5,2010,Suburban,495000
3000,5,4,1990,Urban,810000
1550,3,2,2018,Suburban,390000
2300,4,2.5,2002,Urban,580000
1000,2,1,2020,Rural,310000
2800,4,3.5,1995,Urban,750000
1700,3,2,2012,Suburban,450000
2400,4,3,2000,Urban,615000
1100,2,1,2017,Rural,270000
1950,3,2,2008,Suburban,475000
3200,5,4.5,1985,Urban,900000
1450,2,2,2019,Suburban,350000
2600,4,3,1999,Urban,680000
1050,2,1,2021,Rural,295000
2200,3,2.5,2006,Suburban,510000
2900,4,4,1992,Urban,780000
1600,3,2,2014,Suburban,405000
2750,4,3.5,1997,Urban,720000
1300,2,1.5,2016,Rural,325000
2000,3,2,2011,Suburban,480000
3100,5,4,1988,Urban,840000
1500,3,2,2018,Suburban,375000
2450,4,3,2001,Urban,630000
1150,2,1,2019,Rural,280000
1850,3,2.5,2007,Suburban,460000
3050,5,4,1991,Urban,820000
1750,3,2,2013,Suburban,440000
2550,4,3,1996,Urban,660000
1250,2,1.5,2017,Rural,300000
2050,3,2.5,2009,Suburban,500000
3300,5,4.5,1987,Urban,880000
1400,2,2,2020,Suburban,360000
2650,4,3.5,1998,Urban,700000
1080,2,1,2022,Rural,305000
2150,3,2.5,2004,Suburban,520000
2950,4,4,1993,Urban,795000
1650,3,2,2015,Suburban,415000
2700,4,3.5,1995,Urban,740000
1350,2,1.5,2016,Rural,335000
2100,3,2,2010,Suburban,495000
3150,5,4,1989,Urban,850000
1480,2,2,2019,Suburban,370000
2580,4,3,2000,Urban,640000
1120,2,1,2018,Rural,290000
1900,3,2.5,2006,Suburban,470000
3080,5,4,1991,Urban,830000
1720,3,2,2014,Suburban,430000
